Date,Stock,Action,Shares,Price,Cost,Cash_After,Proceeds
2025-07-30,AAPL,BUY,11,208.81301879882812,2296.9432067871094,7703.056793212891,
2025-07-30,UNH,BUY,3,264.3721008300781,793.1163024902344,6909.940490722656,
2025-07-30,PFE,BUY,102,23.809999465942383,2428.619945526123,4481.320545196533,
2025-07-30,ABBV,BUY,13,187.95501708984375,2443.4152221679688,2037.9053230285645,
2025-07-30,LLY,BUY,2,758.4142456054688,1516.8284912109375,521.076831817627,
2025-08-13,AAPL,SELL,1,233.3300018310547,,754.4068336486816,233.3300018310547
2025-08-20,ABBV,SELL,3,207.6529998779297,,1377.3658332824707,622.9589996337891
2025-08-20,AAPL,BUY,1,226.00999450683594,226.00999450683594,1151.3558387756348,
2025-08-20,LLY,BUY,1,705.4400024414062,705.4400024414062,445.9158363342285,
2025-08-27,ABBV,BUY,2,206.57080078125,413.1416015625,32.774234771728516,
2025-09-04,AAPL,SELL,1,239.77999877929688,,272.5542335510254,239.77999877929688
2025-09-04,ABBV,SELL,3,211.47544860839844,,906.9805793762207,634.4263458251953
2025-09-04,UNH,BUY,1,308.43414306640625,308.43414306640625,598.5464363098145,
2025-09-04,PFE,BUY,6,24.540000915527344,147.24000549316406,451.3064308166504,
2025-09-11,ABBV,SELL,8,218.64376831054688,,2200.4565773010254,1749.150146484375
2025-09-11,AAPL,BUY,1,230.02999877929688,230.02999877929688,1970.4265785217285,
2025-09-11,WFC,BUY,6,81.25,487.5,1482.9265785217285,
2025-09-18,ABBV,SELL,1,220.40110778808594,,1703.3276863098145,220.40110778808594
2025-09-18,WFC,SELL,6,83.5,,2204.3276863098145,501.0
2025-09-18,PFE,BUY,4,24.149999618530273,96.5999984741211,2107.7276878356934,
2025-09-18,NKE,BUY,16,72.0999984741211,1153.5999755859375,954.1277122497559,
2025-09-25,AAPL,SELL,11,256.8699951171875,,3779.6976585388184,2825.5699462890625
2025-09-25,UNH,SELL,1,345.55999755859375,,4125.257656097412,345.55999755859375
2025-09-25,AMZN,BUY,12,218.14999389648438,2617.7999267578125,1507.4577293395996,
2025-09-25,NKE,BUY,9,69.23999786376953,623.1599807739258,884.2977485656738,
2025-10-02,PFE,SELL,3,27.079999923706055,,965.537748336792,81.23999977111816
2025-10-02,AMZN,SELL,12,222.41000366210938,,3634.4577922821045,2668.9200439453125
2025-10-02,NKE,SELL,25,74.56999969482422,,5498.70778465271,1864.2499923706055
2025-10-02,AAPL,BUY,3,257.1300048828125,771.3900146484375,4727.3177700042725,
2025-10-02,META,BUY,4,727.0499877929688,2908.199951171875,1819.1178188323975,
2025-10-02,UNH,BUY,2,353.7200012207031,707.4400024414062,1111.6778163909912,
2025-10-09,META,SELL,3,733.510009765625,,3312.207845687866,2200.530029296875
2025-10-09,AAPL,BUY,2,254.0399932861328,508.0799865722656,2804.1278591156006,
2025-10-09,PFE,BUY,7,25.239999771118164,176.67999839782715,2627.4478607177734,
2025-10-16,UNH,SELL,1,356.6700134277344,,2984.117874145508,356.6700134277344
2025-10-16,META,BUY,1,712.0700073242188,712.0700073242188,2272.047866821289,
2025-10-23,AAPL,SELL,5,259.5799865722656,,3569.947799682617,1297.8999328613281
2025-10-23,META,SELL,1,734.0,,4303.947799682617,734.0
2025-10-23,UNH,BUY,2,360.45001220703125,720.9000244140625,3583.0477752685547,
2025-10-23,NKE,BUY,41,69.68000030517578,2856.880012512207,726.1677627563477,
2025-10-30,UNH,SELL,2,344.75,,1415.6677627563477,689.5
2025-10-30,NKE,SELL,8,64.9000015258789,,1934.867774963379,519.2000122070312
