Stock,Shares,Price,Value,Allocation (%)
AAPL,3,270.3699951171875,811.1099853515625,7.691934732850034
META,1,648.3499755859375,648.3499755859375,6.14844569333021
JNJ,5,188.8699951171875,944.3499755859375,8.955478921920982
ABBV,5,218.0399932861328,1090.199966430664,10.338606525606142
LLY,1,862.8599853515625,862.8599853515625,8.182691386835076
BAC,20,53.45000076293945,1069.000015258789,10.137562716876564
WFC,12,86.97000122070312,1043.6400146484375,9.897068242584877
GS,1,789.3699951171875,789.3699951171875,7.485769614684055
MS,6,164.0,984.0,9.331488840990945
AMZN,4,244.22000122070312,976.8800048828125,9.263968358283682
CASH,1,1325.1811599731445,1325.1811599731445,12.566984966037431
